Year,Player Name,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Total Minutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2021,Dwayne Bacon,SG,25,ORL,72,50,25.7,4.1,10.1,0.402,0.8,2.9,0.285,3.2,7.2,0.449,0.443,2.0,2.4,0.824,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.4,10.9,1853,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,-0.3,0.9,0.5,0.013,-3.5,-1.6,-5.1,-1.4
2021,Cole Anthony,PG,20,ORL,47,34,27.1,4.7,11.7,0.397,1.2,3.7,0.337,3.4,8.1,0.424,0.449,2.3,2.8,0.832,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,12.9,1273,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0.0,-0.001,-2.0,-1.3,-3.3,-0.4
2021,Joel Embiid,C,26,PHI,51,51,31.1,9.0,17.6,0.513,1.1,3.0,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5,1585,30.3,0.636,0.171,0.61,8.0,29.1,18.7,16.2,1.5,3.9,12.2,35.3,5.6,3.2,8.8,0.266,6.2,1.0,7.2,3.7
2021,Tobias Harris,PF,28,PHI,62,62,32.5,7.6,14.9,0.512,1.3,3.4,0.394,6.3,11.5,0.546,0.556,2.9,3.3,0.892,1.0,5.8,6.8,3.5,0.9,0.8,1.7,1.9,19.5,2014,20.0,0.597,0.225,0.221,3.5,19.2,11.5,17.6,1.3,2.3,9.5,23.9,4.1,3.1,7.1,0.17,2.8,0.5,3.4,2.7
2021,Dwight Howard,C,35,PHI,69,6,17.3,2.6,4.4,0.587,0.1,0.3,0.25,2.5,4.1,0.611,0.596,1.8,3.0,0.576,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7.0,1196,17.8,0.61,0.066,0.693,17.8,35.3,26.7,7.2,1.2,4.7,22.1,18.2,1.3,2.6,4.0,0.159,-2.2,0.3,-1.9,0.0
2021,Ben Simmons,PG,24,PHI,58,58,32.4,5.6,10.1,0.557,0.1,0.2,0.3,5.6,9.9,0.562,0.56,3.0,4.9,0.613,1.6,5.6,7.2,6.9,1.6,0.6,3.0,2.9,14.3,1877,18.3,0.584,0.017,0.492,5.6,18.7,12.2,31.3,2.4,1.7,19.6,20.2,2.7,3.3,6.0,0.153,0.8,1.9,2.7,2.2
2021,Seth Curry,SG,30,PHI,57,57,28.7,4.5,9.7,0.467,2.2,4.9,0.45,2.3,4.8,0.485,0.582,1.2,1.4,0.896,0.2,2.2,2.4,2.7,0.8,0.1,1.1,1.7,12.5,1638,12.9,0.607,0.507,0.139,0.7,8.3,4.6,13.6,1.3,0.4,10.0,17.1,2.3,1.7,4.0,0.118,-0.1,-0.8,-0.9,0.5
2021,Danny Green,SF,33,PHI,69,69,28.0,3.2,7.9,0.412,2.5,6.3,0.405,0.7,1.6,0.438,0.573,0.4,0.6,0.775,0.8,3.0,3.8,1.7,1.3,0.8,1.0,1.8,9.5,1934,12.1,0.582,0.794,0.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14.0,1.6,3.1,4.6,0.115,0.2,1.2,1.5,1.7
2021,Matisse Thybulle,SG,23,PHI,65,8,20.0,1.6,3.7,0.42,0.7,2.2,0.301,0.9,1.5,0.59,0.508,0.1,0.3,0.444,0.5,1.4,1.9,1.0,1.6,1.1,0.5,2.0,3.9,1298,10.1,0.508,0.588,0.074,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,0.1,2.7,2.8,0.102,-2.7,4.3,1.6,1.2
2021,Tyrese Maxey,SG,20,PHI,61,8,15.3,3.2,7.0,0.462,0.5,1.7,0.301,2.7,5.3,0.512,0.498,1.0,1.1,0.871,0.2,1.5,1.7,2.0,0.4,0.2,0.7,1.3,8.0,935,14.5,0.531,0.24,0.163,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23.0,0.8,1.1,1.9,0.099,-1.3,-0.6,-1.9,0.0
2021,Furkan Korkmaz,SG,23,PHI,55,11,19.3,3.1,7.7,0.401,1.8,4.9,0.375,1.3,2.8,0.445,0.52,1.1,1.5,0.732,0.3,1.7,2.1,1.5,0.9,0.2,0.8,1.2,9.1,1062,12.8,0.544,0.634,0.193,1.8,9.8,5.9,11.1,2.2,0.8,9.1,20.5,0.6,1.5,2.0,0.092,-0.3,0.1,-0.3,0.5
2021,Chris Paul,PG,35,PHO,70,70,31.4,6.3,12.6,0.499,1.5,3.7,0.395,4.8,8.9,0.543,0.557,2.4,2.6,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,2199,21.4,0.599,0.294,0.206,1.3,14.5,8.0,40.9,2.2,0.8,14.0,22.6,6.5,2.7,9.2,0.201,3.4,1.3,4.7,3.7
2021,Deandre Ayton,C,22,PHO,69,69,30.7,6.2,10.0,0.626,0.1,0.3,0.2,6.2,9.7,0.639,0.629,1.9,2.5,0.769,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,14.4,2115,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,5.3,3.1,8.4,0.191,0.9,0.0,0.9,1.6
2021,Mikal Bridges,SF,24,PHO,72,72,32.6,5.0,9.3,0.543,1.9,4.4,0.425,3.2,4.9,0.647,0.643,1.5,1.8,0.84,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5,2348,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,0.164,2.2,0.8,3.0,3.0
2021,Cameron Payne,PG,26,PHO,60,1,18.0,3.2,6.6,0.484,1.2,2.8,0.44,2.0,3.8,0.515,0.576,0.8,0.9,0.893,0.3,2.1,2.4,3.6,0.6,0.3,1.0,1.6,8.4,1079,17.4,0.602,0.42,0.142,1.7,13.2,7.6,28.1,1.6,1.3,12.5,19.8,2.4,1.2,3.6,0.158,1.7,0.9,2.6,1.3
2021,Frank Kaminsky,C,27,PHO,47,13,15.2,2.6,5.5,0.471,0.7,1.8,0.365,1.9,3.7,0.523,0.531,0.8,1.3,0.617,0.8,3.2,4.0,1.7,0.3,0.4,0.5,1.5,6.6,715,15.8,0.547,0.331,0.233,5.8,23.7,14.9,15.3,1.0,2.1,7.2,19.0,1.1,0.9,2.0,0.133,0.3,0.8,1.1,0.6
2021,Torrey Craig,SF,30,PHO,50,8,16.1,2.2,4.5,0.48,0.8,2.1,0.368,1.4,2.4,0.579,0.566,0.3,0.4,0.773,1.1,2.8,3.9,1.0,0.6,0.5,0.5,1.7,5.5,803,14.2,0.579,0.467,0.097,8.1,19.1,13.7,7.9,1.7,2.9,9.6,14.3,1.1,1.1,2.2,0.133,-0.3,0.7,0.3,0.5
2021,Devin Booker,SG,24,PHO,67,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,0.533,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,2270,19.2,0.587,0.288,0.305,1.7,12.1,7.0,20.6,1.2,0.6,12.4,32.7,2.9,2.0,4.9,0.104,1.4,-1.5,-0.1,1.1
2021,Jevon Carter,PG,25,PHO,60,1,12.0,1.6,3.7,0.422,0.9,2.5,0.371,0.6,1.2,0.528,0.547,0.1,0.1,0.571,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,4.1,717,12.2,0.548,0.677,0.031,2.6,11.8,7.3,13.0,2.0,1.1,6.6,15.0,0.7,0.8,1.6,0.104,-0.6,1.1,0.5,0.5
2021,Jae Crowder,PF,30,PHO,60,42,27.5,3.3,8.2,0.404,2.5,6.3,0.389,0.9,1.9,0.455,0.555,1.0,1.3,0.76,0.5,4.2,4.7,2.1,0.8,0.5,0.9,2.1,10.1,1648,11.8,0.574,0.772,0.152,2.2,16.9,9.7,10.0,1.4,1.5,9.5,15.7,1.4,1.9,3.3,0.097,0.1,0.7,0.8,1.2
